price,day_of_week,day,month,last_change,7_day_low,30_day_low,7_day_high,30_day_high,7_day_mean,30_day_mean,date
80405.19444444444,3.0,27.0,10.0,447.65476190474874,74446.09722222222,67883.65277777778,80684.06818181818,80684.06818181818,77955.44711780312,71524.5833211179,2016-10-27
80539.7,4.0,28.0,10.0,-144.36818181817944,75042.04347826086,67883.65277777778,80684.06818181818,80684.06818181818,78825.9618003428,71915.4507720983,2016-10-28
80365.05555555556,5.0,29.0,10.0,-40.138888888875954,76286.73611111111,67883.65277777778,80684.06818181818,80684.06818181818,79586.39209709919,72302.15910543165,2016-10-29
80775.81081081081,6.0,30.0,10.0,236.11081081081647,78866.45070422535,67883.65277777778,80775.81081081081,80775.81081081081,80227.68848277057,72711.08378504081,2016-10-30
81287.21126760563,0.0,31.0,10.0,922.1557120500656,79957.53968253969,67883.65277777778,81287.21126760563,81287.21126760563,80573.51142039632,73155.73120288119,2016-10-31
81227.51388888889,1.0,1.0,11.0,451.70307807807694,80365.05555555556,68151.05555555556,81287.21126760563,81287.21126760563,80754.93630701765,73600.52657325157,2016-11-01
81137.92857142857,2.0,2.0,11.0,-149.28269617706246,80365.05555555556,68215.54285714286,81287.21126760563,81287.21126760563,80819.77350553342,74033.42234044733,2016-11-02
81231.7205882353,3.0,3.0,11.0,4.20669934641046,80365.05555555556,68215.54285714286,81287.21126760563,81287.21126760563,80937.84866893211,74467.22413783295,2016-11-03
80913.55172413793,4.0,4.0,11.0,-224.37684729063767,80365.05555555556,68306.94444444444,81287.21126760563,81287.21126760563,80991.25605809467,74890.49110006612,2016-11-04
81092.02777777778,5.0,5.0,11.0,-139.69281045751995,80775.81081081081,68306.94444444444,81287.21126760563,81287.21126760563,81095.10923269785,75314.34505629509,2016-11-05
81883.98550724638,6.0,6.0,11.0,970.4337831084558,80913.55172413793,68306.94444444444,81883.98550724638,81883.98550724638,81253.41990361722,75764.65707320329,2016-11-06
83186.59154929577,0.0,7.0,11.0,2094.563771517991,80913.55172413793,68496.73611111111,83186.59154929577,83186.59154929577,81524.75994385865,76260.64531003167,2016-11-07
83431.97368421052,1.0,8.0,11.0,1547.988176964136,80913.55172413793,69254.07042253521,83431.97368421052,83431.97368421052,81839.68277176176,76758.48656246832,2016-11-08
86833.07462686567,2.0,9.0,11.0,3646.483077569894,80913.55172413793,69538.47692307692,86833.07462686567,86833.07462686567,82653.27506539563,77344.45336927933,2016-11-09
87846.66666666667,3.0,10.0,11.0,4414.692982456152,80913.55172413793,69538.47692307692,87846.66666666667,87846.66666666667,83598.2673623144,77952.05419846672,2016-11-10
87995.02777777778,4.0,11.0,11.0,1161.9531509121152,81092.02777777778,69716.73611111111,87995.02777777778,87995.02777777778,84609.90679854865,78567.27256029009,2016-11-11
87758.81944444444,5.0,12.0,11.0,-87.84722222223354,81883.98550724638,69996.68055555556,87995.02777777778,87995.02777777778,85562.30560807246,79168.67533806787,2016-11-12
87641.59722222222,6.0,13.0,11.0,-353.430555555562,83186.59154929577,69996.68055555556,87995.02777777778,87995.02777777778,86384.82156735472,79745.59015288268,2016-11-13
89552.79166666667,0.0,14.0,11.0,1793.9722222222335,83431.97368421052,70298.01388888889,89552.79166666667,89552.79166666667,87294.27872697914,80397.46052325306,2016-11-14
89533.55,1.0,15.0,11.0,1891.952777777784,86833.07462686567,71864.20833333333,89552.79166666667,89552.79166666667,88165.93248637763,81038.64506029009,2016-11-15
91118.95652173914,2.0,16.0,11.0,1566.164855072464,87641.59722222222,72691.6,91118.95652173914,91118.95652173914,88778.2013285024,81680.46999990362,2016-11-16
93975.72222222222,3.0,17.0,11.0,4442.172222222216,87641.59722222222,73127.07246376811,93975.72222222222,93975.72222222222,89653.78069358178,82389.94074064436,2016-11-17
96955.29166666667,4.0,18.0,11.0,5836.335144927536,87641.59722222222,73553.74285714286,96955.29166666667,96955.29166666667,90933.81839199449,83184.21471407432,2016-11-18
99543.66666666667,5.0,19.0,11.0,5567.9444444444525,87641.59722222222,74446.09722222222,99543.66666666667,99543.66666666667,92617.36799516909,84050.54550772511,2016-11-19
99928.48611111111,6.0,20.0,11.0,2973.194444444438,89533.55,75042.04347826086,99928.48611111111,99928.48611111111,94372.63783643892,84899.95847068806,2016-11-20
99996.93055555556,0.0,21.0,11.0,453.2638888888905,89533.55,76286.73611111111,99996.93055555556,99996.93055555556,95864.65767770876,85731.78803993123,2016-11-21
